"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Chris Mepham","Bournemouth","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p223911.png",0,0,4.3,0.8,0.1,4,175,0,0,0,6,0,0,0,1,0,0,0,34.8,12.5,21,6.9,0.05,0,0.02,0.07,1.57,3.09,1.03,0,4,"Not recommended"
"Marcos Senesi","Bournemouth","Defender","suspended","https://resources.premierleague.com/premierleague/photos/players/250x250/p221466.png",0,3.7,4.5,3.3,3.5,56,1205,2,2,4,25,0,0,0,5,0,0,7,408,144.3,61,61.6,0.06,0,0.08,0.14,1.71,1.87,0.97,0.3,5,"Can be alternative"
"Adam Smith","Bournemouth","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p54469.png",1,3.7,4.4,3,0.2,33,740,0,2,3,12,0,0,0,0,0,0,0,167,127.2,2,29.8,0,0,0.1,0.1,1.25,1.46,0.97,0.36,6,"Not recommended"
"Illia Zabarnyi","Bournemouth","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p477580.png",1,3,4.4,2.2,0.2,42,1710,0,0,5,35,0,0,0,3,0,0,1,335.8,41.7,26,40.3,0.02,0,0.02,0.04,1.65,1.84,1,0.26,8,"Not recommended"
"Milos Kerkez","Bournemouth","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p544877.png",0,0,4.4,2.1,0.2,31,1160,0,1,3,26,1,0,0,2,0,0,1,187,104.1,30,32.1,0.01,0,0.04,0.05,1.94,2.02,1.01,0.23,1,"Not recommended"
"Max Aarons","Bournemouth","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p232980.png",0,0,4.4,1.8,0.1,23,994,0,1,2,26,0,0,0,1,0,0,0,154,96.6,22,27.3,0,0,0.08,0.08,2.09,2.35,1,0.18,8,"Not recommended"
"Kristoffer Ajer","Brentford","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p191866.png",0,0,4.4,2,0.2,22,723,0,1,2,13,0,0,0,4,0,0,1,122.8,94.4,107,32.3,0.09,0,0.23,0.32,1.47,1.62,1,0.25,8,"Not recommended"
"Nathan Collins","Brentford","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p432830.png",1,0.3,4.5,2.7,0.4,41,1193,1,1,3,24,0,0,0,2,0,0,3,310.4,51.9,114,47.8,0.08,0,0.04,0.12,1.37,1.81,0.98,0.23,8,"Not recommended"
"Rico Henry","Brentford","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p194010.png",0,0,4.3,2.6,0.9,13,401,0,1,1,5,0,0,0,1,0,0,0,72.8,67.9,17,15.7,0.02,0,0.2,0.22,1.15,1.12,1.12,0.22,6,"Not recommended"
"Aaron Hickey","Brentford","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p472713.png",0,0,4.4,1.9,0.1,17,713,0,0,2,12,0,0,0,5,0,0,0,66.6,28.4,37,12.9,0.03,0,0.02,0.05,1.29,1.51,1.14,0.25,6,"Not recommended"
